0 0.01 0.99995 0.5
0.01 0.019999 0.9998 0.5
0.02 0.029996 0.99955 0.5
0.03 0.03999 0.9992 0.5
0.04 0.04998 0.99875 0.5
0.05 0.059965 0.9982 0.5
0.06 0.069944 0.997551 0.5
0.07 0.079916 0.996802 0.5
0.08 0.08988 0.995953 0.5
0.09 0.0998351 0.995004 0.5
0.1 0.10978 0.993956 0.5
0.11 0.119714 0.992808 0.5
0.12 0.129636 0.991562 0.5
0.13 0.139545 0.990216 0.5
0.14 0.149441 0.988771 0.5
0.15 0.159321 0.987227 0.5
0.16 0.169185 0.985584 0.5
0.17 0.179033 0.983843 0.5
0.18 0.188862 0.982004 0.5
0.19 0.198673 0.980066 0.5
0.2 0.208463 0.97803 0.5
0.21 0.218233 0.975897 0.5
0.22 0.227981 0.973666 0.5
0.23 0.237707 0.971337 0.5
0.24 0.247408 0.968911 0.5
0.25 0.257085 0.966389 0.5
0.26 0.266736 0.96377 0.5
0.27 0.27636 0.961054 0.5
0.28 0.285957 0.958243 0.5
0.29 0.295525 0.955335 0.5
0.3 0.305064 0.952332 0.5
0.31 0.314572 0.949234 0.5
0.32 0.324048 0.946041 0.5
0.33 0.333492 0.942753 0.5
0.34 0.342903 0.939371 0.5
0.35 0.35228 0.935895 0.5
0.36 0.361621 0.932325 0.5
0.37 0.370926 0.928662 0.5
0.38 0.380194 0.924907 0.5
0.39 0.389425 0.921058 0.5
0.4 0.398616 0.917118 0.5
0.41 0.407767 0.913086 0.5
0.42 0.416877 0.908963 0.5
0.43 0.425946 0.904749 0.5
0.44 0.434972 0.900444 0.5
0.45 0.443955 0.896049 0.5
0.46 0.452893 0.891565 0.5
0.47 0.461786 0.886991 0.5
0.48 0.470633 0.882329 0.5
0.49 0.479433 0.877579 0.5
0.5 0.488185 0.87274 0.5
0.51 0.496888 0.867815 0.5
0.52 0.505541 0.862803 0.5
0.53 0.514144 0.857704 0.5
0.54 0.522695 0.85252 0.5
0.55 0.531194 0.84725 0.5
0.56 0.53964 0.841896 0.5
0.57 0.548032 0.836457 0.5
0.58 0.556369 0.830935 0.5
0.59 0.564651 0.82533 0.5
0.6 0.572876 0.819642 0.5
0.61 0.581044 0.813873 0.5
0.62 0.589153 0.808021 0.5
0.63 0.597204 0.802089 0.5
0.64 0.605195 0.796077 0.5
0.65 0.613126 0.789986 0.5
0.66 0.620995 0.783815 0.5
0.67 0.628802 0.777566 0.5
0.68 0.636546 0.771239 0.5
0.69 0.644227 0.764835 0.5
0.7 0.651843 0.758354 0.5
0.71 0.659394 0.751798 0.5
0.72 0.666879 0.745166 0.5
0.73 0.674297 0.73846 0.5
0.74 0.681648 0.73168 0.5
0.75 0.688931 0.724827 0.5
0.76 0.696145 0.717902 0.5
0.77 0.703289 0.710904 0.5
0.78 0.710363 0.703836 0.5
0.79 0.717365 0.696697 0.5
0.8 0.724297 0.689489 0.5
